sentence,label,url
Alcaraz’s Indian Wells three-peat bid on track with Draper next up. Spain's Carlos Alcaraz overcomes Francisco Cerundolo to set up semifinal meeting with Jack Draper at Indian Wells.,True,https://www.aljazeera.com/sports/2025/3/14/alcarazs-indian-wells-three-peat-bid-on-track-with-draper-next-up
"On’s The Roger Footwear Line Modernizing And Growing. Both on the tennis court and off, On’s The Roger footwear line has a fresh sense of purpose (and new models coming).",True,https://www.forbes.com/sites/timnewcomb/2025/03/25/ons-the-roger-footwear-line-modernizing-and-growing/
"Winning Financial Strategies: Lessons From The Tennis Court. Interestingly, these same principles are fundamental in financial planning.",True,https://www.forbes.com/sites/top-financial-security-professional/2025/03/13/winning-financial-strategies-lessons-from-the-tennis-court/
Rafael Nadal Serves Up A New Caribbean Getaway. Forbes Travel Guide talks to the tennis legend and Meliá Hotels International CEO Gabriel Escarrer about the debut of all-suite ZEL Punta Cana resort.,True,https://www.forbes.com/sites/forbestravelguide/2025/03/19/rafael-nadal-serves-up-a-new-caribbean-getaway/
"ATP And WTA Try To Net Gen Z: How Tennis Is Targeting Digital Natives. The WTA and ATP want to capture a Gen Z audience. Rule changes are good, but digital content that resonates is key.",True,https://www.forbes.com/sites/timellis/2025/03/16/atp-and-wta-try-to-net-gen-z-how-tennis-is-targeting-digital-natives/
"Roger Federer-Backed On Holding Expands Global Footprint With 19 New Stores, Crosses $112 Million Apparel Sales Mark. On Holding AG (NYSE:ONON) surpassed the fourth-quarter earnings and revenue expectations while delivering CHF100 million ($112.48 million) in apparel sales in 2024. During its earnings call, the performance sportswear maker highlighted its new store openings …",True,https://biztoc.com/x/f4825cbb9423340d
Talking a Big Game: The Art of Sports and the Sport of Art. Hyperallergic Editor-in-Chief Hrag Vartanian sits down with curator Jennifer Dunlop Fletcher and critic Seph Rodney to discuss the unexpected intersections of art and athletics.,True,http://hyperallergic.com/998462/talking-a-big-game-the-art-of-sports-and-the-sport-of-art/
"On plots first co-created footwear, apparel collection with Zendaya. Deeper relationships with its celebrity ambassadors, as well as wholesale partners, are in focus as the activewear brand continues to grow sales by double digits.",True,https://www.retaildive.com/news/on-zendaya-first-co-created-collection/741973/
"On The Roger Clubhouse White / Midnight. The 'On The Roger Clubhouse White / Midnight' sneakers represent a seamless blend of innovation and timeless design, crafted in collaboration between On, a cutting-edge Swiss performance brand, and tennis legend Roger Federer.",True,https://www.kicksonfire.com/on-the-roger-clubhouse-white-midnight
"Draper stuns two-time defending champ Alcaraz to reach Indian Wells final. Britain's Jack Draper ended Carlos Alcaraz's bid for a rare Indian Wells ATP Masters three-peat on Saturday, stunning the two-time defending champion 6-1, 0-6, 6-4 to reach the final.",True,https://japantoday.com/category/sports/draper-stuns-two-time-defending-champ-alcaraz-to-reach-indian-wells-final
"Djokovic oozing confidence ahead of century bid. Novak Djokovic stands on the brink of a landmark 100th professional title at the Miami Open, with the Serb saying he is playing his best tennis in a long time.",True,https://japantoday.com/category/sports/djokovic-oozing-confidence-ahead-of-century-bid
Tsitsipas beats Auger-Aliassime to win Dubai final. Stefanos Tsitsipas secures his maiden Dubai Tennis Championships title with a straight-set victory over Felix Auger-Aliassime in the final.,True,https://www.bbc.com/sport/tennis/articles/cm2yexv87rno
"Mirra Andreeva Is Just Getting Started. Louisa Thomas writes about the professional tennis player Mirra Andreeva, who, at seventeen, has joined the ranks of her idols and toppled them.",True,https://www.newyorker.com/sports/sporting-scene/mirra-andreeva-is-just-getting-started
"Djokovic crashes out of Indian Wells opener. Five-time champion Novak Djokovic tumbled out of the Indian Wells ATP Masters on Saturday, falling in his first match to lotic van de Zandschulp. The Dutch player who toppled Carlos Alcaraz at the U.S.",True,https://japantoday.com/category/sports/djokovic-crashes-out-of-indian-wells-opener
"Sabalenka, Gauff, Keys advance at Indian Wells. World number one Aryna Sabalenka overpowered Lucia Bronzetti 6-1, 6-2 to lead a string of top women's seeds into the last 16 at Indian Wells on Monday.",True,https://japantoday.com/category/sports/sabalenka-gauff-keys-advance-at-indian-wells
Djokovic says losing to protege Mensik makes Miami defeat easier to take. Novak Djokovic fell short in his bid to claim a 100th ATP title following a straight sets defeat by Czech teenager Jakub Mensik in the Miami Open final but the Serb said losing to his protege made it a little easier to digest.,True,https://www.channelnewsasia.com/sport/djokovic-says-losing-protege-mensik-makes-miami-defeat-easier-take-5034461
"Teenager Mensik denies Djokovic in Miami Open final. The 19-year-old Czech Jakub Mensik beat his childhood idol Novak Djokovic 7-6(4) 7-6(4) in an upset for the ages on Sunday, claiming his first ATP title at the Miami Open as he denied the former number one in his bid for a milestone 100th.",True,https://www.channelnewsasia.com/sport/teenager-mensik-denies-djokovic-miami-open-final-5034356
Murray flies out to join Djokovic coaching team at Indian Wells. LONDON : Novak Djokovic will have old rival Andy Murray back in his coaching corner as he attempts to win the Indian Wells title for the first time in almost a decade.,True,https://www.channelnewsasia.com/sport/murray-flies-out-join-djokovic-coaching-team-indian-wells-4973761
"Alcaraz guns for Indian Wells three-peat as Sinner serves ban. INDIAN WELLS, California : Spaniard Carlos Alcaraz is the hot favourite to complete a rare Indian Wells three-peat while Poland's Iga Swiatek will look to become the only woman to win the tournament three times when the main draw gets underway on Wednesday.",True,https://www.channelnewsasia.com/sport/alcaraz-guns-indian-wells-three-peat-sinner-serves-ban-4973396
"Alcaraz focused on steady improvement, not top ranking. World number three Carlos Alcaraz said reclaiming top spot in the rankings is not his top priority over the next few months as the Spaniard looks to avoid any additional pressure in the search for his best form.",True,https://www.channelnewsasia.com/sport/alcaraz-focused-steady-improvement-not-top-ranking-4997606
"From Ronaldo to Hamilton, sport's elite defy their age. LONDON : Cristiano Ronaldo was 40 last month and is top scorer in Saudi soccer's top flight. Lewis Hamilton hit the same age in January and is after an eighth Formula One title.",True,https://www.channelnewsasia.com/sport/ronaldo-hamilton-sports-elite-defy-their-age-5013191
"Djokovic says hamstring injury behind him, targets 'Sunshine Double'. INDIAN WELLS, California : Novak Djokovic said he has recovered from the hamstring injury that forced him out of the Australian Open semi-finals and confirmed he will play the 'Sunshine Double' at Indian Wells and Miami for the first time since 2019.",True,https://www.channelnewsasia.com/sport/djokovic-says-hamstring-injury-behind-him-targets-sunshine-double-4984046
"Djokovic reaches Miami Open final, 100th career title in sight. Novak Djokovic is one win away from a 100th career singles title after breezing past Grigor Dimitrov 6-2 6-3 on Friday to reach the Miami Open final, where he will face either third seed Taylor Fritz or rising Czech Jakub Mensik.",True,https://www.channelnewsasia.com/sport/djokovic-reaches-miami-open-final-100th-career-title-sight-5031581
Djokovic says reclaiming top ranking not his goal anymore. Novak Djokovic said chasing the world number one ranking is not his main objective anymore and the 24-times Grand Slam champion will happily take major tournament victories over top spot in the twilight of his glittering career.,True,https://www.channelnewsasia.com/sport/djokovic-says-reclaiming-top-ranking-not-his-goal-anymore-5019986
"Teenager Mensik hands Djokovic shock defeat in Miami Open final. Nineteen-year-old Czech Jakub Mensik beat his childhood idol Novak Djokovic 7-6(4) 7-6(4) in an upset for the ages on Sunday, claiming his first ATP title at the Miami Open as he denied the former number one his bid for a milestone 100th.",True,https://www.channelnewsasia.com/sport/teenager-mensik-hands-djokovic-shock-defeat-miami-open-final-5034356
The BNP Paribas Open in Indian Wells: What to know and who to watch. Who will win with Sinner out? How will Keys follow up her first major title? Answering the big questions as the BNP Paribas Open begins Wednesday.,True,https://www.espn.com/tennis/story/_/id/44096672/2025-bnp-paribas-open-indian-wells-preview-storylines-watch
Coach Murray joins Djokovic at Indian Wells. Novak Djokovic will have old rival Andy Murray back in his coaching corner as he attempts to win the Indian Wells title for the first time in almost a decade.,True,https://www.espn.com/tennis/story/_/id/44095222/andy-murray-joins-novak-djokovic-coaching-team-indian-wells
"Tsitsipas earns first ATP 500 title at Dubai. Stefanos Tsitsipas secured his first ATP 500 title by beating Felix Auger-Aliassime 6-3, 6-3 in the Dubai Championships final on Saturday.",True,https://www.espn.com/tennis/story/_/id/44067672/tsitsipas-earns-first-atp-500-title-wins-dubai-championships
"Alcaraz: Sinner absence doesn't change anything. Carlos Alcaraz, a two-time defending champion at Indian Wells, said the absence of world No. 1 Jannik Sinner ""didn't change [anything] at all.""",True,https://www.espn.com/tennis/story/_/id/44112154/carlos-alcaraz-says-indian-wells-draw-really-open-jannik-sinner-absence-change-anything
"Alcaraz starts Indian Wells 3-peat bid with win. Carlos Alcaraz began his bid for an Indian Wells three-peat with a 6-4, 6-2 win over Quentin Halys in the first round on Saturday.",True,https://www.espn.com/tennis/story/_/id/44169296/carlos-alcaraz-starts-indian-wells-3-peat-bid-easy-win
Takeaways from Indian Wells -- and what they mean for Miami Open. Will Djokovic and Swiatek turn their season around? Can Andreeva continue her incredible run? The biggest questions as the Miami Open begins.,True,https://www.espn.com/tennis/story/_/id/44294809/bnp-paribas-indian-wells-miami-open-preview-mirra-andreeva-jack-draper-novak-djokovic
"Russian teen Andreeva focused on the job as WTA ranking rises. Mirra Andreeva's rise in the WTA rankings has accelerated so quickly that the 17-year-old Russian can't keep track.",True,https://sports.yahoo.com/article/russian-teen-andreeva-focused-job-012640911.html
"Alcaraz 'upset about myself' in nervy loss at Indian Wells. Carlos Alcaraz crashed out of his Indian Wells three-peat bid on Saturday, and nerves played a key role in ""one of the worst sets I have played in my career.""",True,https://sports.yahoo.com/article/alcaraz-upset-myself-nervy-loss-022415407.html
Marco Odermatt clinches historic 4th consecutive Alpine skiing World Cup overall title. Marco Odermatt is the third Alpine skier to win four overall titles in a row.,True,https://www.nbcsports.com/olympics/news/marco-odermatt-alpine-skiing-world-cup-overall-fis-2025
"Jannik Sinner’s tennis ban does ranking no harm as rivals falter in Sunshine Double. Welcome back to the Monday Tennis Briefing, where will explain the stories behind the stories from the past week on court. This week, the Miami Open crowned its champions, with Aryna Sabalenka and Jakub Menšík taking the singles titles.",True,https://sports.yahoo.com/article/jannik-sinner-tennis-ban-does-114605958.html
"Perplexity is getting one of Android's coolest AI features. The Circle to Search-style feature works just like the official Google version, but keeps you in the Perplexity app.",True,https://www.zdnet.com/article/perplexity-is-getting-one-of-androids-coolest-ai-features/
Djokovic healthy despite 'awkward' viral video. Novak Djokovic said ahead of the BNP Paribas Open that he is healthy despite the viral video of him hobbling into the airport following last month's tournament in Doha.,True,https://www.espn.com/tennis/story/_/id/44143407/djokovic-healthy-ahead-bnp-viral-video-awkward-see
Murray to coach Djokovic in Indian Wells & Miami. Andy Murray will reprise his coaching role with Novak Djokovic at Indian Wells and stay with the 24-time major champion for the Miami Open.,True,https://www.bbc.com/sport/tennis/articles/cx2ge1z5gv2o
"Bill Gates Plays 'Crennis' With Indian Cricket Legend Sachin Tendulkar, Invites Roger Federer And Satya Nadella To Join Doubles Match. Microsoft Corporation co-founder Bill Gates and legendary Indian Cricket player Sachin Tendulkar last week played a lighthearted game of ""Crennis,"" sparking playful banter on social media and an invitation to Roger Federer and Satya Nadella to join in.",True,https://biztoc.com/x/7842b3cb4037418b
"Alcaraz To Play Against 'Ambitious' Opponent, Eyeing 3-Peat At Indian Wells. Carlos Alcaraz is hoping to join Roger Federer and Novak Djokobic as the only men to win three straight titles at Indian Wells.",True,https://sports.ndtv.com/tennis/carlos-alcaraz-preparing-for-battle-against-ambitious-opponent-eyeing-three-peat-at-indian-wells-7926799
Carlos Alcaraz Stunned By Jack Draper In Indian Wells Semi-Final. Carlos Alcaraz was aiming to join Roger Federer and Novak Djokovic as the only men to win three straight titles at Indian Wells.,True,https://sports.ndtv.com/tennis/carlos-alcaraz-stunned-by-jack-draper-in-indian-wells-semi-final-7934770
"Alcaraz Sets Eyes On Indian Wells 3-Peat, Begins Title Defence With A Bang. The four-time Grand Slam winner from Spain is vying to join Novak Djokovic and Roger Federer as the only players to win three straight Indian Wells ATP Masters titles.",True,https://sports.ndtv.com/tennis/carlos-alcaraz-sets-eyes-on-indian-wells-three-peat-begins-title-defence-with-a-bang-7882817
"Novak Djokovic Seeks Indian Wells Resurgence With Help From Andy Murray. Novak Djokovic, with old rival Andy Murray in his coaching corner, is optimistic he can put together a deep run at the Indian Wells ATP Masters to kick start a so-far disappointing 2025 campaign.",True,https://sports.ndtv.com/tennis/novak-djokovic-seeks-indian-wells-resurgence-with-help-from-andy-murray-7866689
"Tsitsipas Wins 1st Title In Nearly A Year, To Re-Enter ATP Top 10. Stefanos Tsitsipas beat Felix Auger-Aliassime 6-3, 6-3 in one hour and 28 minutes.",True,https://sports.ndtv.com/tennis/stefanos-tsitsipas-wins-1st-title-in-nearly-a-year-to-re-enter-atp-top-10-7825810
"Griekspoor Stuns Top-Seeded Zverev, Avenges French Open Heartbreak. Tallon Griekspoor stunned top-seeded Alexander Zverev 4-6, 7-6 (7/5), 7-6 (7/4) in the second round at Indian Wells on Friday, avenging a devastating loss to the German at Roland Garros last year.",True,https://sports.ndtv.com/tennis/tallon-griekspoor-stuns-top-seeded-alexander-zverev-avenges-french-open-heartbreak-7874981
"Carlos Alcaraz’s Brutal Honesty Brings Darkness To His Sunshine Double. Has Carlos Alcaraz been too honest for his own good after defeats at Indian Wells and Miami? Alcaraz wins majors when it counts, but opponents may now sense weakness.",True,https://www.forbes.com/sites/timellis/2025/03/22/carlos-alcarazs-brutal-honesty-brings-darkness-to-his-sunshine-double/
"Baseball’s Highest-Paid Players 2025. MLB’s top 10 earners will haul in $576 million combined this season, led by the sport’s first two $100 million men in Mets signing Juan Soto and Dodgers star Shohei Ohtani.",True,https://www.forbes.com/sites/justinbirnbaum/2025/03/25/baseballs-highest-paid-players-2025/
"Djokovic crashes out of Indian Wells opener. Novak Djokovic exited the Indian Wells ATP Masters, losing to Botic van de Zandschulp in his first match with a score of 6-2, 3-6, 6-1. Djokovic, burdened by 37 unforced errors, couldn't overcome the Dutchman's persistent pressure, leading to his earliest exit.",True,https://economictimes.indiatimes.com/news/sports/djokovic-crashes-out-of-indian-wells-opener/articleshow/118813061.cms
"Tennis: Novak Djokovic says reclaiming top ranking not his goal anymore. Novak Djokovic, now 37 and fifth in the rankings, prioritizes winning Grand Slams and major tournament victories over regaining the world number one spot.",True,https://economictimes.indiatimes.com/news/sports/tennis-novak-djokovic-says-reclaiming-top-ranking-not-his-goal-anymore/articleshow/119440842.cms
"Alcaraz focused on steady improvement, not top ranking. Carlos Alcaraz, aiming for a third title at Indian Wells, is focused on his game rather than reclaiming the top ranking.",True,https://economictimes.indiatimes.com/news/sports/alcaraz-focused-on-steady-improvement-not-top-ranking/articleshow/119020174.cms
"Tsitsipas triumphs in Dubai for first ATP 500 title. It was third time lucky for Tsitsipas who had twice lost in the Dubai final, against Roger Federer in 2019 and Novak Djokovic a year later.",True,https://www.rediff.com/sports/report/tsitsipas-triumphs-in-dubai-for-first-atp-500-title/20250302.htm
PIX: 19-year-old Mensik stuns Djokovic in Miami final. The 19-year-old Czech Jakub Mensik beat his childhood idol Novak Djokovic in the Miami Open final in an upset for the ages on Sunday.,True,https://www.rediff.com/sports/report/pix-19-year-old-jakub-mensik-stuns-djokovic-in-miami-open-final/20250331.htm
Djokovic's desperate move... bringing back Murray. Novak Djokovic will have old rival Andy Murray back in his coaching corner as he attempts to win the Indian Wells title for the first time in almost a decade.,True,https://www.rediff.com/sports/report/djokovics-desperate-move-bringing-back-murray/20250304.htm
"'I'm never happy to lose, but...': Djokovic. Novak Djokovic fell short in his bid to claim a 100th ATP title following a straight sets defeat by Czech teenager Jakub Mensik in the Miami Open final",True,https://www.rediff.com/sports/report/im-never-happy-to-lose-but-djokovic-on-miami-final/20250331.htm
Did nerves get the better of Alcaraz against Draper?. Carlos Alcaraz's hopes of capturing a third successive Indian Wells title went up in smoke on Saturday and the Spaniard said his inability to tame his nerves was more of a disappointment than the stunning semi-final defeat by Jack Draper.,True,https://www.rediff.com/sports/report/did-nerves-get-the-better-of-alcaraz-against-draper-indian-wells/20250316.htm
"Djokovic eyes 100th title, snubs No1 ranking. Djokovic has spent more than 400 weeks at number one and now sits fifth in the rankings",True,https://www.rediff.com/sports/report/djokovic-eyes-100th-title-snubs-no1-ranking/20250324.htm
"PIX: Djokovic's 100th career title in sight at Miami. Novak Djokovic is one win away from a 100th career singles title after breezing past Grigor Dimitrov 6-2, 6-3 on Friday to reach the Miami Open final, where he will face either third seed Taylor Fritz or rising Czech Jakub Mensik.",True,https://www.rediff.com/sports/report/pix-djokovics-100th-career-title-in-sight-at-miami-dmitrov-fritz-mensik/20250329.htm
How Andy Murray is revolutionising Djokovic's Game.... Novak Djokovic said he has recovered from the hamstring injury that forced him out of the Australian Open semi-finals,True,https://www.rediff.com/sports/report/how-andy-murray-is-revolutionising-djokovics-game/20250307.htm
"Indian Wells: Keys, Alcaraz cruise; Rublev shocked. Australian Open champion Madison Keys crushed Anastasia Potapova 6-3, 6-0 at Indian Wells on Saturday in her first match as a Grand Slam champion, while Carlos Alcaraz began his bid for an Indian Wells three-peat with a 6-4, 6-2 win over Quentin Halys.",True,https://www.rediff.com/sports/report/indian-wells-keys-alcaraz-cruise-rublev-shocked-djokovic-fritz-zandschulp/20250309.htm
"Alcaraz on track for Indian Wells 'three-peat'. Dimitrov was showing signs of fatigue from his three-hour third-round match earlier in the week and could do little to stop the Spanish world number three, who next faces Argentine Francisco Cerundolo.",True,https://www.rediff.com/sports/report/alcaraz-on-track-for-indian-wells-three-peat-bhambri-ousted/20250313.htm
"PIX: Alcaraz eases into fourth round; Gauff, Keys win. Carlos Alcaraz kept his Indian Wells 'three-peat' campaign on track with a straight sets win against Canadian Denis Shapovalov in the third round.",True,https://www.rediff.com/sports/report/pix-alcaraz-eases-into-fourth-round-gauff-keys-advance/20250311.htm
Alcaraz says nerves got the better of him against Draper. Carlos Alcaraz's hopes of capturing a third successive Indian Wells title went up in smoke on Saturday and the Spaniard said his inability to tame his nerves was more of a disappointment than the stunning semi-final defeat by Jack Draper.,True,https://www.channelnewsasia.com/sport/alcaraz-says-nerves-got-better-him-against-draper-5003756
"Roger Federer's Racket From 2011 French Open Match Against Nadal Hits Auction. The racket Roger Federer used during his iconic French Open final against Rafael Nadal is up for auction ... and it could go for a big chunk of change, TMZ Sports has learned.",True,https://www.tmz.com/2025/03/25/roger-federer-game-used-racket-2011-french-open-goldin-auction/
"Zendaya and Elmo Help On Holdings Exceed Projections in Q4, Year. The 15-year-old company also expects significant growth in apparel sales in 2025.",True,http://wwd.com/business-news/financial/on-holdings-zendaya-elmo-1237017169/
"Alexis Ohanian shows off rare Venus Williams collectable despite being married to Serena. Alexis Ohanian has shown off a part of his life which is more linked to sister-in-law Venus Williams rather than his wife Serena Williams.",True,https://www.marca.com/en/tennis/2025/03/29/67e7f90146163fbd618b4588.html
"Novak Djokovic sets new ATP Masters record, surpassing Rafael Nadal. Novak Djokovic has once again proven why he is considered one of the greatest players in tennis history.",True,https://www.marca.com/en/tennis/2025/03/24/67e0bda6e2704ee7908b458a.html
"Alcaraz chases third straight Indian Wells title. Carlos Alcaraz, coming off a quarterfinal defeat in the Qatar Open, is seeded second behind Germany's Alexander Zverev.",True,https://www.japantimes.co.jp/sports/2025/03/05/tennis/alcaraz-indian-wells/
"Alcaraz guns for Indian Wells three-peat as Sinner serves ban. Poland's Iga Swiatek, meanwhile, will look to become the only woman to win the tournament three times.",True,https://www.japantimes.co.jp/sports/2025/03/04/tennis/indian-wells-alcaraz-swiatek/
